Concurso;Data_Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Bola8;Bola9;Bola10;Bola11;Bola12;Bola13;Bola14;Bola15;Arrecada‡Æo_Total;Ganhadores_15_N£meros;Ganhadores_14_N£meros;Ganhadores_13_N£meros;Ganhadores_12_N£meros;Ganhadores_11_N£meros;Valor_Rateio_15_N£meros;Valor_Rateio_14_N£meros;Valor_Rateio_13_N£meros;Valor_Rateio_12_N£meros;Valor_Rateio_11_N£meros;Acumulado_15_N£meros;Estimativa_Prˆmio;Valor_Acumulado_Especial
780;18/07/2012;3;6;7;8;10;13;15;16;17;18;19;20;21;24;25;R$ 17.178.081,25;2;352;14837;195277;1205995;R$ 770.043,90;R$ 1.346,23;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
781;20/07/2012;1;2;4;8;9;10;11;14;15;16;17;19;20;22;25;R$ 17.606.718,75;0;433;15221;199119;1143495;R$ 0,00;R$ 1.198,16;R$ 12,50;R$ 5,00;R$ 2,50;R$ 1.686.107,55;R$ 3.700.000,00;R$ 0,00
782;23/07/2012;5;8;9;10;11;12;13;14;15;16;17;18;19;20;21;R$ 22.301.425,00;30;2678;39480;237752;1318595;R$ 129.582,16;R$ 361,32;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
783;25/07/2012;1;2;5;6;7;8;11;13;15;16;19;20;21;22;24;R$ 17.623.381,25;8;597;18700;226078;1155003;R$ 199.404,50;R$ 1.174,54;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
784;27/07/2012;1;2;3;4;7;11;12;13;15;18;20;21;22;23;25;R$ 17.648.432,50;4;428;16514;244421;1283535;R$ 356.187,70;R$ 1.463,23;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
785;30/07/2012;1;2;4;6;7;10;11;12;13;15;16;17;19;21;23;R$ 18.292.142,50;5;805;25273;262315;1282091;R$ 292.958,89;R$ 799,83;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
786;01/08/2012;2;4;5;6;8;10;11;12;13;15;17;21;23;24;25;R$ 17.443.601,25;5;1064;30112;270687;1324818;R$ 239.934,51;R$ 495,60;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
787;03/08/2012;1;4;5;8;9;10;11;12;13;14;16;17;19;20;23;R$ 18.405.700,00;6;504;25605;231055;1286003;R$ 258.719,49;R$ 1.353,84;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
788;06/08/2012;1;3;4;8;9;10;11;12;16;19;21;22;23;24;25;R$ 18.879.368,75;5;468;16432;222508;1244582;R$ 353.183,78;R$ 1.161,02;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
789;08/08/2012;2;3;4;8;10;11;12;14;15;16;18;19;21;22;24;R$ 18.103.752,50;7;861;24148;250920;1225938;R$ 217.608,36;R$ 777,65;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
790;10/08/2012;3;6;7;8;10;12;13;16;18;19;20;22;23;24;25;R$ 18.269.522,50;3;440;19404;254243;1294263;R$ 499.387,35;R$ 1.496,66;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
791;13/08/2012;1;2;3;5;6;7;8;10;11;13;14;21;22;23;25;R$ 18.589.836,25;3;379;14212;216067;1347106;R$ 539.529,25;R$ 1.314,06;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
792;15/08/2012;1;2;3;6;8;9;10;12;14;18;19;20;21;23;25;R$ 16.493.936,25;7;596;19539;236290;1121395;R$ 197.035,39;R$ 1.017,21;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
793;17/08/2012;2;4;5;7;9;11;12;14;16;17;18;20;21;23;25;R$ 17.870.071,25;22;1692;29121;248506;1169150;R$ 69.011,79;R$ 394,42;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
794;20/08/2012;1;2;3;4;5;6;8;9;11;14;15;20;23;24;25;R$ 18.063.013,75;1;345;14715;194217;1256859;R$ 1.662.575,93;R$ 1.482,79;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
795;22/08/2012;1;2;3;4;6;7;8;9;10;12;14;16;21;22;24;R$ 16.845.563,75;3;342;14333;206278;1138514;R$ 509.362,56;R$ 1.374,80;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
796;24/08/2012;2;3;4;6;7;8;10;11;14;16;17;18;20;21;24;R$ 17.211.578,75;7;435;17298;210837;1137376;R$ 225.065,01;R$ 1.591,97;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
797;27/08/2012;2;3;5;6;7;8;11;15;17;18;19;20;21;24;25;R$ 17.624.722,50;2;378;14820;208425;1199224;R$ 803.715,64;R$ 1.308,45;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
798;29/08/2012;1;3;5;6;8;10;11;13;15;16;18;19;22;23;24;R$ 16.133.771,25;94;3195;39165;294040;1142283;R$ 11.067,52;R$ 143,12;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
799;31/08/2012;3;4;6;8;11;13;14;15;16;19;21;22;23;24;25;R$ 16.514.811,25;6;419;16984;203788;1207808;R$ 228.934,58;R$ 1.441,01;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 40.000.000,00;R$ 0,00
800;06/09/2012;3;4;6;7;8;9;10;11;12;13;16;20;21;22;24;R$ 122.822.547,50;14;2844;105004;1474510;8138893;R$ 3.072.441,79;R$ 1.232,29;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
801;10/09/2012;1;3;4;5;6;7;10;12;15;17;18;19;21;23;25;R$ 19.168.148,75;4;597;23454;273131;1375355;R$ 379.974,65;R$ 1.119,07;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
802;12/09/2012;1;3;4;5;8;9;10;12;13;14;18;20;21;22;25;R$ 20.176.683,75;5;553;19943;253420;1436605;R$ 343.406,91;R$ 1.364,81;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
803;14/09/2012;1;4;5;12;14;15;16;17;18;19;20;21;23;24;25;R$ 19.998.111,25;2;319;14077;224953;1170867;R$ 1.040.835,54;R$ 2.007,88;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
804;17/09/2012;1;3;4;5;6;7;8;13;15;17;18;20;21;23;24;R$ 19.564.370,00;2;673;22456;279926;1454905;R$ 749.492,98;R$ 979,04;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
805;19/09/2012;1;2;4;6;7;9;11;13;14;16;17;20;22;24;25;R$ 17.830.823,75;21;1094;24537;244328;1175059;R$ 73.297,80;R$ 618,45;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
806;21/09/2012;1;2;3;5;6;7;8;10;14;15;16;19;20;24;25;R$ 18.415.626,25;4;396;15701;207341;1215583;R$ 436.171,53;R$ 1.355,62;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
807;24/09/2012;2;3;4;5;7;8;10;11;13;18;19;21;22;24;25;R$ 18.554.810,00;3;575;21501;263246;1395959;R$ 469.071,25;R$ 1.075,74;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
808;26/09/2012;4;6;7;10;11;12;14;16;17;18;20;21;22;24;25;R$ 17.128.637,50;2;408;16656;219780;1150494;R$ 763.613,67;R$ 1.151,76;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
809;28/09/2012;1;2;4;5;7;9;13;16;18;19;21;22;23;24;25;R$ 18.514.736,25;4;517;19419;239501;1286455;R$ 397.402,39;R$ 1.351,50;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
810;01/10/2012;1;3;6;7;9;11;12;15;16;17;18;21;22;23;24;R$ 15.786.400,00;3;409;14015;187792;1002410;R$ 504.877,83;R$ 1.627,80;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
811;03/10/2012;1;2;3;4;5;6;7;9;10;12;14;17;19;20;22;R$ 18.698.475,00;6;672;21352;257487;1310561;R$ 257.846,23;R$ 1.011,95;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
812;05/10/2012;1;3;5;7;8;11;14;17;18;19;20;21;23;24;25;R$ 18.886.653,75;0;624;25390;308568;1429406;R$ 0,00;R$ 923,08;R$ 12,50;R$ 5,00;R$ 2,50;R$ 1.310.405,58;R$ 3.500.000,00;R$ 0,00
813;08/10/2012;1;3;4;5;6;7;8;10;12;16;19;21;23;24;25;R$ 24.156.510,00;6;648;24441;333884;1667788;R$ 558.823,21;R$ 1.385,52;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
814;10/10/2012;3;4;8;10;11;12;13;14;17;19;20;21;22;23;24;R$ 18.560.160,00;4;600;22872;271058;1435954;R$ 334.305,28;R$ 979,64;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
815;13/10/2012;6;7;8;10;11;14;15;17;18;20;21;22;23;24;25;R$ 15.296.943,75;4;342;13448;168329;980109;R$ 372.368,06;R$ 1.340,06;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
816;15/10/2012;2;3;5;8;9;10;11;12;13;15;16;17;19;23;25;R$ 15.018.285,00;7;646;22125;253513;1198937;R$ 134.514,23;R$ 640,69;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
817;17/10/2012;1;2;3;4;5;8;10;11;12;17;18;20;23;24;25;R$ 18.587.293,75;2;610;21700;260178;1373657;R$ 722.468,13;R$ 1.041,20;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
818;19/10/2012;4;5;6;8;10;11;13;14;16;19;20;22;23;24;25;R$ 18.525.706,25;1;624;21181;258295;1329626;R$ 1.489.921,97;R$ 1.049,53;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
819;22/10/2012;3;4;5;6;7;8;9;10;11;12;18;19;20;21;22;R$ 18.352.647,50;36;1082;21294;214375;1165488;R$ 48.367,86;R$ 707,37;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
820;24/10/2012;1;2;3;5;6;7;8;9;10;13;15;16;22;23;24;R$ 16.648.788,75;2;336;13763;196984;1167096;R$ 740.274,96;R$ 1.355,81;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
821;26/10/2012;3;4;5;7;9;10;11;12;14;16;17;21;23;24;25;R$ 17.834.233,75;2;579;19967;249292;1296383;R$ 708.314,66;R$ 1.075,46;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
822;29/10/2012;2;3;5;11;12;14;15;16;17;18;19;21;22;23;24;R$ 18.111.302,50;1;296;11641;208306;1109999;R$ 1.824.731,69;R$ 1.896,81;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
823;31/10/2012;1;2;4;5;9;11;12;13;14;16;19;20;22;24;25;R$ 16.985.505,00;4;400;16440;217928;1173200;R$ 369.543,37;R$ 1.624,36;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
824;03/11/2012;2;3;4;7;11;12;13;14;15;19;20;21;22;24;25;R$ 14.889.361,25;3;372;14049;199656;1066653;R$ 411.569,27;R$ 1.458,94;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
825;05/11/2012;1;6;7;8;9;10;11;13;14;15;17;19;22;23;25;R$ 15.245.956,25;0;321;13676;194946;1102942;R$ 0,00;R$ 1.224,72;R$ 12,50;R$ 5,00;R$ 2,50;R$ 1.277.687,13;R$ 3.200.000,00;R$ 0,00
826;07/11/2012;3;5;6;12;13;14;15;16;17;18;19;20;21;23;24;R$ 23.427.083,75;2;464;19131;323724;1549302;R$ 1.681.109,32;R$ 1.382,32;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
827;09/11/2012;1;2;4;5;7;9;10;12;13;14;16;17;21;22;24;R$ 19.181.305,00;4;749;22525;252917;1301729;R$ 414.388,43;R$ 972,75;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
828;12/11/2012;1;6;7;8;9;12;14;15;17;19;20;22;23;24;25;R$ 19.353.661,25;1;426;17522;237277;1283313;R$ 1.777.058,21;R$ 1.283,54;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
829;14/11/2012;2;5;7;8;9;11;13;14;16;17;18;22;23;24;25;R$ 18.428.756,25;10;679;22284;260616;1362720;R$ 142.130,62;R$ 920,10;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.300.000,00;R$ 0,00
830;16/11/2012;1;4;6;9;10;11;12;13;14;16;17;19;21;23;24;R$ 15.071.156,25;2;534;17262;207129;1036556;R$ 635.039,66;R$ 1.045,46;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
831;19/11/2012;1;2;3;5;9;10;11;12;14;16;17;18;20;21;22;R$ 18.351.518,75;5;380;15079;200701;1166531;R$ 361.257,30;R$ 1.462,58;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
832;21/11/2012;2;5;6;7;8;10;11;12;15;16;19;22;23;24;25;R$ 15.774.686,25;5;454;17170;201563;1119723;R$ 265.914,15;R$ 1.287,28;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
833;23/11/2012;2;5;6;7;10;11;12;13;16;17;18;19;20;22;25;R$ 17.782.995,00;3;388;15241;193234;1167472;R$ 569.138,06;R$ 1.354,01;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
834;26/11/2012;2;4;7;8;9;10;11;14;16;18;19;20;21;22;23;R$ 18.661.801,25;5;420;17962;226287;1268091;R$ 335.660,48;R$ 1.229,53;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
835;28/11/2012;1;2;4;6;8;12;14;15;16;17;18;19;21;24;25;R$ 17.231.137,50;3;525;18152;210969;1095894;R$ 540.466,94;R$ 1.357,53;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
836;30/11/2012;2;4;7;8;9;10;12;14;15;16;18;20;21;22;25;R$ 17.819.526,25;4;953;26739;271546;1199701;R$ 358.628,95;R$ 661,65;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
837;03/12/2012;1;3;7;8;10;11;12;13;14;15;16;18;20;22;24;R$ 19.114.098,75;7;1008;27317;277627;1372043;R$ 211.520,18;R$ 645,66;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
838;05/12/2012;2;4;5;7;9;10;11;14;15;16;18;20;21;23;24;R$ 18.270.202,50;21;1476;29280;275669;1247019;R$ 68.910,69;R$ 430,96;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
839;07/12/2012;2;3;4;6;7;8;13;14;16;17;19;21;22;24;25;R$ 18.331.547,50;2;676;22509;241091;1294913;R$ 761.053,31;R$ 989,73;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
840;10/12/2012;2;4;6;9;11;12;13;17;18;19;20;21;22;23;25;R$ 17.918.256,25;4;517;20471;238033;1300029;R$ 363.014,59;R$ 1.234,55;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
841;12/12/2012;1;3;5;6;8;10;12;13;14;15;16;17;20;21;24;R$ 18.011.136,25;8;856;25459;260857;1274520;R$ 177.422,96;R$ 728,86;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
842;14/12/2012;3;4;5;7;10;11;13;14;15;18;19;20;21;22;24;R$ 18.118.220,00;5;540;18864;248513;1313130;R$ 292.500,79;R$ 1.190,47;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
843;17/12/2012;3;4;7;8;11;12;13;15;16;17;19;20;21;22;24;R$ 18.441.486,25;8;648;20895;252678;1334734;R$ 185.206,10;R$ 1.005,05;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
844;19/12/2012;1;3;5;7;8;9;10;12;15;16;17;19;22;24;25;R$ 17.358.705,00;3;1228;27512;263661;1262197;R$ 428.223,99;R$ 459,84;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
845;21/12/2012;2;4;6;7;11;12;14;16;18;19;21;22;23;24;25;R$ 17.492.081,25;3;793;23506;259071;1318336;R$ 426.917,92;R$ 709,92;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
846;24/12/2012;1;4;6;9;10;11;13;14;15;19;20;21;23;24;25;R$ 12.369.433,75;1;353;15268;168718;874155;R$ 1.012.416,25;R$ 1.260,67;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
847;26/12/2012;1;3;5;6;7;9;10;11;13;14;17;18;20;21;25;R$ 13.371.633,75;3;896;22641;217004;1002422;R$ 305.151,89;R$ 449,10;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
848;28/12/2012;2;3;5;8;9;13;14;16;17;18;19;21;23;24;25;R$ 17.100.522,50;1;545;19542;245263;1288476;R$ 1.290.253,81;R$ 1.040,63;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
849;31/12/2012;1;4;5;10;12;13;14;15;16;17;18;20;23;24;25;R$ 10.505.580,00;2;199;9441;109273;711303;R$ 496.366,50;R$ 1.534,96;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
850;02/01/2013;2;3;5;7;8;10;13;14;18;19;20;21;22;23;24;R$ 12.762.088,75;2;512;17089;193062;988193;R$ 447.801,10;R$ 768,88;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
851;04/01/2013;1;4;5;6;7;10;13;14;15;17;18;19;20;22;24;R$ 18.674.728,75;3;436;16305;219507;1236748;R$ 580.464,31;R$ 1.228,93;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
852;07/01/2013;1;2;3;4;5;8;11;12;16;18;20;21;23;24;25;R$ 18.899.070,00;4;637;22866;244914;1344171;R$ 392.253,82;R$ 1.082,69;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
853;09/01/2013;2;3;5;6;8;9;11;12;17;18;19;20;21;22;23;R$ 18.232.433,75;4;620;21095;255063;1209445;R$ 393.932,77;R$ 1.117,14;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
854;11/01/2013;1;2;3;5;8;9;10;13;14;15;17;18;20;21;22;R$ 19.507.543,75;2;611;20559;247077;1328568;R$ 858.416,70;R$ 1.235,10;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
855;14/01/2013;1;3;4;8;9;10;11;13;14;15;17;18;23;24;25;R$ 19.407.508,75;3;939;29033;302371;1494280;R$ 444.770,18;R$ 624,61;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
856;16/01/2013;2;3;7;8;9;11;12;13;15;16;19;20;22;23;25;R$ 18.343.636,25;5;726;23511;267485;1363911;R$ 276.059,48;R$ 835,70;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
857;18/01/2013;1;3;4;6;8;11;13;14;15;16;18;19;20;21;24;R$ 18.682.645,00;3;673;24966;241502;1303212;R$ 522.692,52;R$ 1.024,16;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
858;21/01/2013;1;3;4;5;6;8;9;11;12;17;19;20;22;23;25;R$ 18.491.177,50;5;768;21496;251218;1264567;R$ 314.263,91;R$ 899,33;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
859;23/01/2013;1;2;3;4;5;6;9;10;11;13;14;17;18;19;20;R$ 17.473.637,50;2;534;16155;198163;1148941;R$ 825.060,53;R$ 1.358,29;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
860;25/01/2013;3;4;5;6;7;9;10;13;14;15;16;19;22;24;25;R$ 17.514.966,25;2;604;18789;225126;1233144;R$ 743.148,03;R$ 1.081,65;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
861;28/01/2013;1;2;3;4;6;7;9;10;11;14;15;17;19;22;23;R$ 18.523.993,75;3;585;23260;247055;1332032;R$ 500.196,28;R$ 1.127,52;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
862;30/01/2013;1;2;3;4;5;10;13;14;15;17;18;19;20;23;24;R$ 17.324.085,00;7;536;16686;232945;1205922;R$ 210.457,52;R$ 1.208,13;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
863;01/02/2013;1;3;4;7;8;13;15;16;17;18;19;22;23;24;25;R$ 18.625.072,50;4;623;23916;280852;1424173;R$ 333.851,01;R$ 942,20;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
864;04/02/2013;3;6;8;10;12;13;15;16;17;18;19;21;22;23;24;R$ 19.244.100,00;3;499;20453;254855;1400075;R$ 521.879,24;R$ 1.379,14;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
865;06/02/2013;1;3;4;5;6;7;10;13;18;19;20;21;22;23;25;R$ 18.362.361,25;0;363;15299;207857;1307893;R$ 0,00;R$ 1.381,76;R$ 12,50;R$ 5,00;R$ 2,50;R$ 1.630.127,69;R$ 3.500.000,00;R$ 0,00
866;08/02/2013;1;2;3;5;7;8;9;10;11;13;14;18;20;23;24;R$ 26.418.763,75;6;1067;38460;434094;2185789;R$ 538.137,44;R$ 658,59;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
867;13/02/2013;2;3;4;5;6;7;8;10;12;13;14;15;21;22;25;R$ 17.667.313,75;1;271;11860;217737;1146385;R$ 1.671.716,32;R$ 1.898,06;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
868;15/02/2013;1;2;3;8;9;10;12;13;14;16;17;19;21;22;24;R$ 19.980.825,00;9;861;23196;259504;1410881;R$ 186.080,57;R$ 854,98;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
869;18/02/2013;1;3;6;9;10;11;12;14;18;20;21;22;23;24;25;R$ 19.500.600,00;6;462;16673;227592;1294999;R$ 303.342,90;R$ 1.212,16;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
870;20/02/2013;1;2;4;5;6;7;8;10;12;13;14;16;17;18;23;R$ 17.895.286,25;5;534;18402;229018;1293585;R$ 297.412,88;R$ 1.224,07;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
871;22/02/2013;2;4;6;8;9;10;12;13;14;15;17;19;22;23;24;R$ 19.069.448,75;10;1349;34291;337387;1507148;R$ 114.239,79;R$ 372,24;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
872;25/02/2013;1;2;4;5;6;7;9;10;12;13;14;17;18;22;23;R$ 19.163.885,00;12;1178;39405;285047;1447871;R$ 109.893,96;R$ 492,07;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
873;27/02/2013;2;3;6;7;8;9;11;12;13;14;15;17;18;22;25;R$ 18.031.671,25;0;436;16361;224617;1379565;R$ 0,00;R$ 1.449,94;R$ 12,50;R$ 5,00;R$ 2,50;R$ 1.438.198,73;R$ 3.500.000,00;R$ 0,00
874;01/03/2013;1;2;4;5;6;7;8;9;10;16;19;20;21;23;25;R$ 25.805.801,25;5;652;20630;277988;1565472;R$ 815.257,42;R$ 1.244,97;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
875;04/03/2013;2;4;6;8;9;10;12;13;15;18;21;22;23;24;25;R$ 19.919.950,00;6;639;22578;289536;1444698;R$ 259.876,31;R$ 1.072,59;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
876;06/03/2013;3;5;6;7;9;12;13;14;16;18;20;21;23;24;25;R$ 18.787.198,75;8;1246;30945;279515;1325097;R$ 180.454,88;R$ 509,28;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
877;08/03/2013;3;7;8;9;10;11;13;14;15;16;18;19;21;23;25;R$ 19.597.015,00;6;663;25186;310648;1565268;R$ 215.761,17;R$ 858,28;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
878;11/03/2013;1;2;3;5;6;7;10;12;13;14;16;19;22;23;25;R$ 19.392.932,50;6;768;22360;255856;1367825;R$ 269.834,67;R$ 926,63;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
879;13/03/2013;2;3;4;7;9;10;12;13;15;16;18;21;22;24;25;R$ 18.674.900,00;5;968;26353;274750;1335540;R$ 289.245,10;R$ 656,71;R$ 12,50;R$ 5,00;R$ 2,50;R$ 0,00;R$ 1.500.000,00;R$ 0,00
